"","model_1_f1","model_1_f2","model_1_f3","model_1_f4"
"1",0.886345530989951,0.836811928832922,0.701803400870432,0.857459607246154
"2",0.887576281634602,0.844324687584635,0.676892050045587,0.86287298806998
"3",0.887896871088361,0.843624599011235,0.689509837632885,0.853771427617377
"4",0.881922244600689,0.835698555450986,0.663855034396161,0.861920087683481
"5",0.888917362950908,0.850730609509253,0.685541846182243,0.872050071311996
"6",0.8754498983054,0.839633858777767,0.663903898108627,0.879478110941544
"7",0.880209552206939,0.846226435846093,0.691378584574566,0.878946914410441
"8",0.8751397898922,0.83560557314755,0.692605980598347,0.875149265343154
"9",0.869082197550094,0.822295071120329,0.695505381149202,0.862365940471909
"10",0.872963584261424,0.829616053036741,0.678131600385952,0.867146548425094
"11",0.881596354163701,0.826126592421983,0.680343370736489,0.862551922918064
"12",0.881507402462707,0.816629112330688,0.70296263860093,0.865737047503725
"13",0.87651355800135,0.826705392773163,0.693295401088894,0.859235879925209
"14",0.870953156880834,0.828675759611476,0.667865751882395,0.855763137776409
"15",0.86428243776872,0.832609049259258,0.648447868720944,0.858954773264683
"16",0.866407796536381,0.828613211375235,0.641715554278439,0.858496942439857
"17",0.860450806275369,0.817940268293024,0.666516709107214,0.847712652486644
"18",0.85183628349209,0.825437308909132,0.679450904359367,0.856280771220796
"19",0.851820204187348,0.831532045855622,0.672762624326633,0.854913462388834
"20",0.864449229455985,0.830244227366889,0.663115722902332,0.860252901124948
"21",0.864905904431207,0.820636373980413,0.636349591571508,0.866818175305448
"22",0.864836858896105,0.825887571995699,0.663276896235285,0.862062744778931
"23",0.86579521022642,0.820959353659038,0.658088692623594,0.854825473330746
"24",0.864926459489755,0.822009747420481,0.666184258953101,0.859326703175796
"25",0.866327514121752,0.837579860468797,0.63228390605109,0.86413017775355
"26",0.864781231170866,0.824607426358414,0.643156531540895,0.870015504562605
"27",0.855965507142163,0.820011252125948,0.668841886711877,0.865740327730094
"28",0.867346117290434,0.82606166390717,0.696594150444436,0.850060377540762
"29",0.864476001780108,0.82748898782276,0.699511495101668,0.865693911172379
"30",0.857194833295474,0.820707339781455,0.642939039219004,0.864842123206077
"31",0.874285120095814,0.819201865008074,0.661149578844604,0.87050798261597
"32",0.866168439890423,0.815167059273961,0.650188276204761,0.871690976855762
"33",0.873360241514987,0.820493486335776,0.652352803209722,0.869355309885091
"34",0.873332011393931,0.815714967091685,0.667265134536406,0.861127401134959
"35",0.879077639203322,0.817518950316673,0.649485808740967,0.872886997599828
"36",0.873098079961186,0.810772796514866,0.635900320286888,0.873245423037213
"37",0.865836937046633,0.81089022844821,0.623217249027711,0.858899702251336
"38",0.862450756227266,0.815942923152507,0.663667731364321,0.871021723643942
"39",0.860879354575461,0.843193616433536,0.661850662293077,0.86965111594833
"40",0.876359681506876,0.840396908772557,0.705733551198245,0.870625333243177
"41",0.882961422662782,0.853001226819868,0.693861347050969,0.870356203359547
"42",0.875508108812243,0.849364507106953,0.677736533108084,0.865156475278777
"43",0.878710928855276,0.84391127840587,0.672694700398357,0.868567911498809
"44",0.877983923092549,0.848466214588065,0.645761547835168,0.858818990377102
"45",0.869397271654858,0.843933326056295,0.665835771079257,0.872301693039352
"46",0.879670221677223,0.840315417891471,0.648687635800827,0.860363365830478
"47",0.857365559451947,0.833054876562043,0.666710247953168,0.8536986739561
"48",0.871310345868072,0.840982467341635,0.660269311409615,0.852398921448539
"49",0.865573607475284,0.840111464413397,0.66055747200711,0.856527461468502
"50",0.870399811554135,0.830018901453543,0.677154617709703,0.855747369945013
"51",0.862558649962219,0.829379930870223,0.669854825656583,0.859233035536548
"52",0.864968442999167,0.827111301573523,0.674594731388901,0.854257161278383
"53",0.861379417841981,0.831322412413353,0.64975337398589,0.860753931533379
"54",0.858784935634599,0.833393731054226,0.674330845713105,0.86296516688199
"55",0.86698660734091,0.826360690137978,0.664382678556167,0.858166017576291
"56",0.867220033119193,0.826453190991468,0.678759489552952,0.85991728866951
"57",0.865412919989831,0.827543940759655,0.674484274122146,0.859795859804343
"58",0.868068287849834,0.827188235514859,0.670404947822402,0.871850903519334
"59",0.870435453839212,0.834438350896933,0.66908189228653,0.871764760557145
"60",0.869527223546888,0.831165451091808,0.661681404592178,0.864800610958888
"61",0.87270317862079,0.834764410630437,0.642225110563225,0.870610109016728
"62",0.876467346955293,0.838790701446827,0.65362908514648,0.878715723865798
"63",0.875744814758747,0.838294517233545,0.64454546773067,0.873589553574815
"64",0.881395574865229,0.836855478289226,0.653297069971699,0.874376361952639
"65",0.871410967328497,0.837325421893808,0.659551506189733,0.865619430741475
"66",0.874865658812031,0.839538354596423,0.665750515908451,0.872318160369497
"67",0.875638645605357,0.827536079230355,0.646881321975104,0.862907056959477
"68",0.869644970395401,0.826554134114328,0.596072727697565,0.86147606752215
