3,1,4,2,5,2,5,2,3,3,4,1,5,4,5,2,5,2,3,2,4,1,2,4,4,2,4,2,3,2,4,1,4,3,4,3,5,1,3,4,4,4,4,3,4,2,5,5,3,5,2,43,3.8,4.1,3.1,4.2,4.8
3,1,2,3,3,2,5,4,4,2,5,3,3,4,4,3,5,3,2,3,4,5,3,2,4,2,4,3,4,2,4,1,3,3,4,3,4,3,3,3,3,4,3,3,4,2,4,3,3,4,2,50,3.7,2.8,3.1,3.7,4
4,1,3,2,4,2,5,4,4,1,5,1,4,2,5,3,5,4,2,1,5,1,1,3,5,1,4,3,1,1,3,1,2,5,5,2,4,3,5,3,5,5,3,2,5,3,5,3,1,5,1,25,4.1,2.6,2.7,4.7,4.8
3,1,2,2,2,1,5,2,4,2,4,2,3,2,3,2,4,2,3,1,4,2,2,1,3,2,4,2,2,2,4,2,3,2,3,3,5,3,1,2,2,3,3,2,4,2,4,3,2,3,1,32,3.7,3.1,1.9,3.3,4.2
3,1,2,2,4,1,5,4,3,1,4,2,2,4,5,2,4,4,3,2,4,2,3,2,3,1,4,1,4,1,5,1,2,4,4,4,5,2,4,4,4,5,2,4,5,2,4,2,4,5,2,18,4,2.6,3.4,4.4,4.5
1,4,2,3,3,5,5,4,3,2,1,1,5,4,3,4,5,4,2,1,5,2,3,4,2,4,4,5,4,2,1,1,4,3,5,2,4,4,4,4,1,5,4,3,5,5,4,5,4,1,2,28,1.9,3,3.6,3.6,4.3
3,1,5,5,4,2,2,1,2,4,3,3,5,5,5,2,3,1,4,4,5,1,5,2,5,2,4,1,5,1,2,3,5,1,5,4,5,1,1,4,3,4,5,1,5,5,5,5,1,3,2,18,3.1,5,2.7,4,3.9
1,2,1,4,4,3,2,4,2,3,2,2,3,4,5,3,2,4,1,2,2,4,1,3,3,3,3,4,5,1,2,3,3,4,2,3,2,5,5,3,4,2,1,5,3,3,3,2,4,3,2,17,2.6,1.8,4.3,3.5,2.7
2,1,5,5,5,3,4,1,1,4,3,3,4,5,5,2,4,1,5,5,4,2,5,5,5,1,5,1,5,1,3,1,5,1,5,2,5,1,1,1,2,4,5,2,5,3,5,5,4,4,2,18,3.3,4.9,3.4,3.8,4.4
4,1,4,4,5,1,5,5,2,1,5,1,5,3,4,1,4,1,4,1,5,1,3,1,5,1,5,3,4,1,5,1,4,1,5,1,5,1,1,5,5,5,4,3,4,1,5,5,1,5,1,44,4.9,3.9,2.4,4.8,4.9
1,3,1,2,4,1,4,3,3,1,5,3,2,3,3,1,2,3,4,5,5,4,3,2,1,4,2,3,4,5,1,1,5,3,2,5,5,5,5,5,2,2,3,2,3,4,3,3,4,3,2,24,2.9,2.7,3,2.8,3.1
2,1,3,2,4,3,4,4,5,2,4,1,3,3,5,4,5,3,4,3,3,1,2,3,4,2,4,3,1,1,3,2,3,2,4,4,4,3,1,1,1,5,2,2,4,4,4,3,2,4,2,27,2.6,2.7,1.9,3.8,4.5
4,1,3,4,3,1,4,5,1,2,3,2,4,5,3,2,4,2,2,2,4,1,5,3,4,2,4,3,4,4,4,2,5,4,4,4,4,1,4,3,5,4,4,4,3,3,3,3,4,3,1,21,3.8,3.7,4.1,3.3,4.1
4,1,3,3,5,1,5,3,2,1,4,3,3,4,5,1,5,3,2,1,5,1,1,3,5,1,5,5,5,1,5,1,3,3,4,1,4,2,3,5,5,5,3,4,5,1,5,3,3,5,1,46,4.8,2.7,3.6,4.9,4.7
3,2,3,5,4,1,5,5,2,5,3,1,2,5,3,2,4,3,4,4,2,2,2,5,3,1,4,4,4,3,2,2,3,4,4,3,4,4,5,3,3,3,2,4,3,5,4,3,4,3,2,35,3.1,2.3,4.2,2.9,4.1
