"","model_3"
"1",0.954537688827308
"2",0.952486281238147
"3",0.94734634344493
"4",0.944469979103484
"5",0.94097262114942
"6",0.941177610880327
"7",0.942918005688433
"8",0.943875211224434
"9",0.941929073947305
"10",0.93302047228034
"11",0.936067256767559
"12",0.943759930488738
"13",0.945580226010622
"14",0.956634734901427
"15",0.963069621991441
"16",0.962203853586339
"17",0.960696461719749
"18",0.961909972986915
"19",0.962812701349461
"20",0.962873122153934
"21",0.960135887508602
"22",0.957424058253688
"23",0.957116098740857
"24",0.962322942204258
"25",0.958755773638568
"26",0.959315233437721
"27",0.954612142492615
"28",0.950804707931186
"29",0.954446328840863
"30",0.949734148643641
"31",0.956659132915052
"32",0.956464463271355
"33",0.953010836201402
"34",0.951742429735178
"35",0.96246485510647
"36",0.956050919202566
"37",0.948435705089677
"38",0.951913443314491
"39",0.945467188548261
"40",0.948071802782672
"41",0.956819884511843
"42",0.95796809498972
"43",0.958375776010949
"44",0.951096389956184
"45",0.956371831839875
"46",0.9527437622358
"47",0.950876790431081
"48",0.948537123397356
"49",0.945719421843448
"50",0.949943369570076
"51",0.940189432525899
"52",0.925240254872249
"53",0.915729089941768
"54",0.942239488939719
"55",0.947056877852955
"56",0.95172204386936
"57",0.951193289059755
"58",0.956783902925593
"59",0.963864871477581
"60",0.960801777910231
"61",0.963180322697476
"62",0.965941497603621
"63",0.963713309164148
"64",0.961628843371095
"65",0.968812372281773
"66",0.96250356571925
"67",0.961296845492532
"68",0.966213731878574
"69",0.96453587815404
"70",0.955479274904278
"71",0.955872491699804
"72",0.938382166588019
"73",0.936427286195614
"74",0.931703855685459
"75",0.932227150608752
"76",0.943775588593346
"77",0.942396766371778
"78",0.943858587148838
"79",0.935379899125178
"80",0.938255741823576
"81",0.929333891351595
"82",0.926793295773399
"83",0.930702694045352
"84",0.934265235789401
"85",0.938225159072762
"86",0.94079527852961
"87",0.937389185360941
"88",0.934076591233347
"89",0.936182271715866
"90",0.927482173984477
"91",0.936416546643626
"92",0.931012693186409
"93",0.934426087121088
"94",0.933725577229984
"95",0.936804780021562
"96",0.939506887283979
"97",0.941823690571536
"98",0.947980026043483
"99",0.947876998662082
"100",0.94915465874066
"101",0.955751771312441
"102",0.954522730471636
"103",0.951410983439128
"104",0.955366221947935
"105",0.949870712533012
"106",0.952055121746596
"107",0.953751252879713
"108",0.952981095245
"109",0.953571306805765
"110",0.952127802056284
"111",0.946969715034522
"112",0.944625066811154
"113",0.949995290318002
"114",0.95348671288005
"115",0.954299083325853
"116",0.942871007479306
"117",0.933255359338375
"118",0.945023753601756
"119",0.945651421474837
"120",0.949219541018641
"121",0.943840687325985
"122",0.954350228642849
"123",0.95338416093269
"124",0.954544002630805
"125",0.956059862256413
"126",0.956490586217564
"127",0.947861552015689
"128",0.952212926033282
"129",0.949485309441455
"130",0.952755552367921
"131",0.956038647865788
"132",0.945626460492039
"133",0.951246577035477
"134",0.956539598769684
"135",0.964025325957784
"136",0.963509383813647
"137",0.967196027149396
"138",0.964540307036381
"139",0.963677199729939
"140",0.962240355780748
"141",0.953115051387425
"142",0.948943414748512
"143",0.940177766198826
"144",0.94842501688887
"145",0.941170875450916
"146",0.931753523508698
"147",0.932656200534799
"148",0.936582012469279
"149",0.937294041312982
"150",0.943700655360142
"151",0.934742753697985
"152",0.934056131157609
"153",0.940742782091813
"154",0.935288586100702
"155",0.9361758606899
"156",0.939389216352526
"157",0.944657053467645
"158",0.939549968477014
"159",0.950797810235529
"160",0.956894176823469
"161",0.951267670480975
"162",0.952483797431345
"163",0.937843177619405
"164",0.940702415242547
"165",0.939800274994414
"166",0.943415992178777
"167",0.930911304375588
"168",0.943054045202914
"169",0.92664129443968
"170",0.918772307134466
"171",0.930906538234668
"172",0.919417786092705
"173",0.921658600336312
"174",0.928017399164552
"175",0.943678690954858
"176",0.930765588110026
"177",0.929601258262356
"178",0.938506032713123
"179",0.939937667647309
"180",0.937460557183649
"181",0.939431348981025
