"","model_2"
"1",0.87710313322635
"2",0.90064702498715
"3",0.891910993216344
"4",0.901834792106047
"5",0.893969105296781
"6",0.887738136867512
"7",0.862707832741232
"8",0.869820537793278
"9",0.873159032223335
"10",0.888510867387791
"11",0.915939888926626
"12",0.908117166199085
"13",0.890520757428127
"14",0.876002886624443
"15",0.902282523813207
"16",0.902741488513896
"17",0.897850087376377
"18",0.870255651628391
"19",0.873707217886458
"20",0.884788791443717
"21",0.887918870050752
"22",0.90039207070118
"23",0.902159082657987
"24",0.899545136694006
"25",0.909019831600772
"26",0.914427212673814
"27",0.909477385389716
"28",0.905582687030562
"29",0.909599288592714
"30",0.915102350954241
"31",0.908632185814034
"32",0.916803377760501
"33",0.921642896492601
"34",0.910289478973367
"35",0.898177013798217
"36",0.905952802984197
"37",0.893797106651826
"38",0.909107321278802
"39",0.898922072211141
"40",0.906166301507455
"41",0.901540029418602
"42",0.914100095979935
"43",0.921510116194221
"44",0.918395143985844
"45",0.918128324563983
"46",0.927323040519736
"47",0.927602084643831
"48",0.937881596630225
"49",0.940883575823774
"50",0.939405621952673
"51",0.933615891892778
"52",0.934130937747506
"53",0.934333057641705
"54",0.932453017146309
"55",0.932760940386127
"56",0.929750344706798
"57",0.926788908931511
"58",0.928530817551613
"59",0.926759423416237
"60",0.93402173100543
"61",0.932374173635403
"62",0.931374650259581
"63",0.92700350085637
"64",0.931362985493858
"65",0.933454951199373
"66",0.932986887453596
"67",0.924777371990074
"68",0.910273543809625
"69",0.914570760864916
"70",0.907876630257842
"71",0.897084645063117
"72",0.882168133331388
"73",0.896774889168392
"74",0.903058584937821
"75",0.911463748149029
"76",0.914413749583015
"77",0.913794135545683
"78",0.921312687638952
"79",0.906602652668068
"80",0.915956913504622
"81",0.912952352665163
"82",0.910438166117422
"83",0.905735752464148
"84",0.913426941950711
"85",0.925125496613857
"86",0.92486796001395
"87",0.926120258557372
"88",0.919965772823106
"89",0.928803696517441
"90",0.921674389767619
"91",0.921537883163928
"92",0.916134446779025
"93",0.92628668048067
"94",0.923381644469968
"95",0.925577461604561
"96",0.917172969936033
"97",0.91869669724447
"98",0.924300805430988
"99",0.919801265106271
"100",0.907863161220861
"101",0.912320068029149
"102",0.92487006456674
"103",0.92586207698377
"104",0.928927969877708
"105",0.924243783597352
"106",0.917497387330919
"107",0.926928226842841
"108",0.912180364604448
"109",0.919201001067943
"110",0.913136979770794
"111",0.903768393300115
"112",0.905992326653352
"113",0.893464400568774
"114",0.872925929126884
