"","model_1"
"1",0.736012163588369
"2",0.738624469402813
"3",0.766764307665874
"4",0.849754879588701
"5",0.839973278522118
"6",0.842612957265078
"7",0.846056539231998
"8",0.840643677396045
"9",0.829026964313514
"10",0.851589913291406
"11",0.870748104586289
"12",0.893697737744426
"13",0.883239703443459
"14",0.89091372219382
"15",0.903760040767125
"16",0.902198370569278
"17",0.919580836160988
"18",0.899169772110465
"19",0.923204599603765
"20",0.920002557345905
"21",0.904939330817746
"22",0.892674281287924
"23",0.891624253753677
"24",0.91615033412739
"25",0.927994846939318
"26",0.91705039699491
"27",0.891384889899122
"28",0.895413738379591
"29",0.886886213572879
"30",0.866357514776174
"31",0.891700769334394
"32",0.86609111472368
"33",0.870945052171095
"34",0.880779605764791
"35",0.896032383865835
"36",0.895065966059269
"37",0.882182901753263
"38",0.918686251464071
"39",0.932578657578929
"40",0.930561587547168
"41",0.931414754035499
"42",0.932496921065374
"43",0.915608380697201
"44",0.914422725341854
"45",0.917641851740079
"46",0.908486843592624
"47",0.903525164872494
"48",0.920420358671213
"49",0.915758991715288
"50",0.915746119105747
"51",0.926042191029123
"52",0.920113989525343
"53",0.932478818848376
"54",0.934612013926945
"55",0.940521547200335
"56",0.927038739013264
"57",0.930870760880303
"58",0.927003465518391
"59",0.942008273390658
"60",0.931372072630696
"61",0.92898561494402
"62",0.935542378653905
"63",0.934615708311339
"64",0.93782170543
"65",0.944037418480897
"66",0.934473427267681
"67",0.941666968947096
"68",0.932949101950528
"69",0.928981359874636
"70",0.92077088912635
"71",0.920830351457442
"72",0.927320321295279
"73",0.941020395216393
"74",0.950599840467207
"75",0.939920911530194
"76",0.92369675297637
"77",0.931280563989301
"78",0.922794953451303
"79",0.931390877363292
"80",0.93598528121106
"81",0.91448951483157
"82",0.909005341133231
"83",0.915723412329597
"84",0.920508499071312
"85",0.933915436369832
"86",0.943992716204948
"87",0.939674382149804
"88",0.931611600153744
"89",0.937532604631482
"90",0.930859698482713
"91",0.942420215556114
"92",0.915157309234663
"93",0.91718346379185
"94",0.909606409935551
"95",0.928779493262325
"96",0.939702815432509
"97",0.94314042563546
