"","model_3"
"1",0.731336724038573
"2",0.691579594164807
"3",0.717199356946035
"4",0.744975509339916
"5",0.748205402244171
"6",0.706062781206573
"7",0.719649990912209
"8",0.707602131210076
"9",0.724817736074197
"10",0.731895779210382
"11",0.668163534451957
"12",0.69636082191903
"13",0.674131228529968
"14",0.66742511787865
"15",0.634177201699608
"16",0.64208577257652
"17",0.629771955411132
"18",0.703141984638736
"19",0.734540590033574
"20",0.732436917572271
"21",0.777221599822108
"22",0.742591274777553
"23",0.733737194277629
"24",0.745143446493876
"25",0.716374078161768
"26",0.727117543024915
"27",0.713644038002945
"28",0.710210401870022
"29",0.658911965872668
"30",0.677161762360317
"31",0.697043859661892
"32",0.613402882535562
"33",0.681957492740802
"34",0.720345461533257
"35",0.700210606204535
"36",0.64907046574951
"37",0.713888640397133
"38",0.719371577834436
"39",0.754691403837044
"40",0.718949441136253
"41",0.72154989527477
"42",0.699373812438248
"43",0.6577255096185
"44",0.630538707775794
"45",0.590820464180975
"46",0.583094012901605
"47",0.672453697585148
"48",0.667024301212129
"49",0.654750334809325
"50",0.597035912336567
"51",0.641281667077429
"52",0.619384462684757
"53",0.614105360143018
"54",0.602396837307952
"55",0.632272017503591
"56",0.660400272240954
"57",0.679528505093272
"58",0.71094763478697
"59",0.72894229034969
"60",0.727093219329828
"61",0.709569849299698
"62",0.718857951981405
"63",0.752306987791358
"64",0.754026800667181
"65",0.736953212450824
"66",0.75524117128406
"67",0.747902401961952
"68",0.772631521290436
"69",0.758424626909735
"70",0.765037115810954
"71",0.753062758430751
"72",0.783981086699628
"73",0.774191120538313
"74",0.785555085623564
"75",0.786650257631648
"76",0.800718608976046
"77",0.804145065098926
"78",0.772876105971585
"79",0.77120636324454
"80",0.775906125673811
"81",0.765455742904119
"82",0.769961693921166
"83",0.770751404006213
"84",0.779527339238902
"85",0.789155479519024
"86",0.79373428450796
"87",0.786133091411477
"88",0.769101405654321
"89",0.75316673967845
"90",0.750676342163565
"91",0.707918526960715
"92",0.701345961899941
"93",0.650079743514502
"94",0.651774866849133
"95",0.670338988691255
"96",0.675523827540921
"97",0.584546956786224
"98",0.548879216622864
"99",0.626961625563179
"100",0.653743536610659
"101",0.697629940332844
"102",0.705665000446063
"103",0.726308742197805
"104",0.748054998749518
"105",0.753655568167963
"106",0.754187884776272
"107",0.751332683259367
"108",0.723528495555156
"109",0.720681065480933
"110",0.684084376106428
"111",0.675445172852139
"112",0.704014288025173
"113",0.708255046761972
"114",0.703426664886402
"115",0.735156753944593
"116",0.748888168758186
"117",0.742635848271543
"118",0.779125074006547
"119",0.728384581631238
"120",0.694224117676906
"121",0.666051249754773
"122",0.71304131110692
"123",0.735334065330271
"124",0.733790826767186
"125",0.7271226362856
"126",0.672046590457526
"127",0.639270659087992
"128",0.704727185635436
"129",0.645560611338814
"130",0.650090251974755
"131",0.63169280409391
"132",0.604452417879289
"133",0.669011946863701
"134",0.66151140196373
"135",0.571057073297844
"136",0.594187278476888
"137",0.603084176303118
"138",0.696779718659677
"139",0.605128415308103
"140",0.551801248086673
"141",0.51278673589486
"142",0.476665053979152
"143",0.535479362429535
"144",0.539093972161407
"145",0.570778578483738
"146",0.625546822426259
"147",0.646105805673327
"148",0.701451938141558
"149",0.71127651723633
"150",0.72395304917624
"151",0.760204561645757
"152",0.709123611606686
"153",0.721909623147854
"154",0.672406570742479
"155",0.586453129578639
"156",0.557491208556741
"157",0.561554728597391
"158",0.564231612949495
"159",0.578557856224824
"160",0.623098015053559
"161",0.591166661660056
"162",0.484807638598152
"163",0.458966983253362
"164",0.458482219528247
"165",0.562800700041355
"166",0.532249650962555
"167",0.495352229700677
"168",0.484358644441453
"169",0.541115827075193
"170",0.583896929886957
"171",0.613655518568985
"172",0.667005115486332
"173",0.664783651831597
"174",0.651504572970626
"175",0.732830315332016
"176",0.7278051098169
"177",0.669706177911646
"178",0.694043932691674
"179",0.710643973702464
"180",0.726402336122548
"181",0.744011857965726
"182",0.744576946903979
"183",0.706999571872442
"184",0.690602427306803
"185",0.621617707311095
"186",0.650204828693218
"187",0.676965606755593
"188",0.685611528480465
"189",0.637117257480043
"190",0.647355924179029
"191",0.621206815453603
"192",0.676654666118932
"193",0.630378894055226
"194",0.659035017147154
"195",0.600194703892982
"196",0.653983346559569
"197",0.702178988294402
"198",0.720435933700909
"199",0.667069111016609
"200",0.678515166835876
"201",0.711472609457161
"202",0.754823499992846
"203",0.754173831652178
"204",0.771397889704768
"205",0.782377168943013
"206",0.781544237606737
"207",0.787458277294798
"208",0.77746529431029
"209",0.740834419985159
"210",0.784656630164859
"211",0.709595064673285
"212",0.693197372429111
"213",0.698302011186749
"214",0.745907501637799
"215",0.704633109449002
"216",0.722439674934754
"217",0.702108744462021
"218",0.717356416851651
"219",0.708741395097387
"220",0.670243995281014
"221",0.706481267693495
"222",0.723630792552903
"223",0.729711086174389
"224",0.706796546605459
"225",0.669806030276346
"226",0.687372301711615
"227",0.67451658093736
"228",0.647003911645003
"229",0.6498063771436
"230",0.593981529248856
"231",0.583288587550258
"232",0.647934900614322
"233",0.692381300601961
"234",0.674084378040212
"235",0.691497338181115
"236",0.718718972126986
"237",0.743307005150627
"238",0.74464311790218
"239",0.712176386096853
"240",0.6927752861927
"241",0.720475193505723
"242",0.734237978295074
"243",0.73274824905646
"244",0.727208108358017
"245",0.732486010735368
"246",0.716853731290662
"247",0.703450709791622
"248",0.665558899841159
"249",0.692507233952391
"250",0.653218970772899
"251",0.676049925170564
"252",0.697294913182691
"253",0.656070914858709
"254",0.631485059171134
"255",0.65291453946775
"256",0.625097020009086
"257",0.617501556678652
"258",0.664733994161122
"259",0.714190325985316
"260",0.740504631256488
"261",0.776201892587076
"262",0.783829824679304
"263",0.802091348592067
"264",0.831155384723894
"265",0.81338419857618
"266",0.820835080782158
"267",0.808532636473014
"268",0.820191350850428
"269",0.818632725443967
"270",0.811680029880501
"271",0.821595441689574
"272",0.807450440979652
"273",0.789213477505719
"274",0.75889731047156
"275",0.79110320260943
"276",0.790594154900623
"277",0.802515765758563
"278",0.770463201827728
"279",0.709863738787599
"280",0.746338962319079
"281",0.736770281941308
"282",0.745285444715899
"283",0.763198830171768
"284",0.767699565491088
"285",0.796011177601777
"286",0.76564450454291
"287",0.75663420177501
"288",0.759725301396173
"289",0.769299260443713
"290",0.80569535610058
"291",0.790069938790643
"292",0.756332054382677
"293",0.774682084252602
"294",0.772243099662023
"295",0.74313292144211
"296",0.713962022619693
"297",0.725802432273926
"298",0.702707984538535
"299",0.706935888685335
"300",0.755909819565748
"301",0.743584947243382
"302",0.748143719808806
"303",0.751454201452181
"304",0.765223463268268
"305",0.711831304363793
"306",0.694677202449831
"307",0.7574524238804
"308",0.742399917408923
"309",0.75966517511093
"310",0.773927603763535
"311",0.75353798583173
"312",0.757993728232069
"313",0.743628087648006
"314",0.76804995511191
"315",0.755880699043021
"316",0.747344932984733
"317",0.727531936989917
"318",0.731874398710086
"319",0.74770417447734
"320",0.694595728615733
"321",0.722393078332068
"322",0.698791168344779
"323",0.720529041648999
"324",0.73334542075172
"325",0.746572675202643
"326",0.687456591495105
"327",0.703987401130034
"328",0.7053312968666
"329",0.66155444216835
"330",0.671587026205626
"331",0.692364933651821
"332",0.705458931226095
"333",0.671858964125574
"334",0.699259425218457
"335",0.684648708947179
"336",0.683497620540422
"337",0.687236212021759
"338",0.699110541055788
"339",0.706023820735558
"340",0.726058465745964
"341",0.681844891637263
"342",0.686241005943295
"343",0.682043244345692
"344",0.632351766503347
"345",0.612198547978702
"346",0.683505849672398
"347",0.617719941776459
