"","model_2"
"1",0.53752420253378
"2",0.489231336670148
"3",0.565838724643495
"4",0.533728628782815
"5",0.512895775140103
"6",0.535515208057601
"7",0.557513352501795
"8",0.551146639025133
"9",0.578416166464514
"10",0.553987116457284
"11",0.583568564164637
"12",0.570304355177843
"13",0.52006190238233
"14",0.514582326369552
"15",0.505305687955169
"16",0.520423647995357
"17",0.537624719458797
"18",0.486329002532749
"19",0.51051386698576
"20",0.492287239495173
"21",0.561307104989924
"22",0.565207994101138
"23",0.596720592354998
"24",0.573310573739296
"25",0.568864971308484
"26",0.579020018482743
"27",0.584948886327423
"28",0.552751460560248
"29",0.57332041702574
"30",0.580567723143339
"31",0.593037756139424
"32",0.637465888874416
"33",0.630915921351137
"34",0.595347622091553
"35",0.60791866732921
"36",0.589680621106961
"37",0.563985832200813
"38",0.579705872065505
"39",0.549814599122937
"40",0.551343490958095
"41",0.542484593062986
"42",0.569089831529426
"43",0.580263525887378
"44",0.577114509954593
"45",0.538764432782578
"46",0.578853783857627
"47",0.588790214402123
"48",0.494907207793517
"49",0.557854811440689
"50",0.57195714536351
"51",0.563943867745045
"52",0.557354037087824
"53",0.582541633520446
"54",0.538863870832768
"55",0.533025386059259
"56",0.574982353835772
"57",0.572541122394308
"58",0.55857639255925
"59",0.497566183440728
"60",0.489298099984482
"61",0.458749526850858
"62",0.44224772085121
"63",0.47540852050125
"64",0.543963626813113
"65",0.509772158909426
"66",0.503771026402734
"67",0.497228379614459
"68",0.518086396629636
"69",0.567943278261336
"70",0.511189385900331
"71",0.534177810480031
"72",0.541939814519544
"73",0.569332469785908
"74",0.558191653420842
"75",0.569339717794394
"76",0.577963990566507
"77",0.517546688817916
"78",0.564512122944138
"79",0.550916941337834
"80",0.554825243388124
"81",0.549644150477944
"82",0.508222468230181
"83",0.49839994131862
"84",0.530940405512244
"85",0.521595033737817
"86",0.489679730318628
"87",0.49649840879587
"88",0.509072493381642
"89",0.485718513359275
"90",0.447273270180399
"91",0.492859487857609
"92",0.506282832899423
"93",0.516765605164809
"94",0.550149576109095
"95",0.540373892829043
"96",0.472272091008448
"97",0.487099736165549
"98",0.446617660426975
"99",0.445331683273802
"100",0.423264542862924
"101",0.480835526476028
"102",0.463983489077802
"103",0.463347570555123
"104",0.435053341851281
"105",0.481576745744171
"106",0.467301232339152
"107",0.412361126179328
"108",0.479080932180258
"109",0.369563449124658
"110",0.44852641764577
"111",0.417823041393799
"112",0.447043024522034
"113",0.426778703758915
"114",0.416614733154055
"115",0.472804886067304
"116",0.474452603284421
"117",0.497924993692085
"118",0.495452112107933
"119",0.494722126914191
"120",0.49666983935979
"121",0.536302092810193
"122",0.420280005012165
"123",0.437508899308395
"124",0.485438395661242
"125",0.501895842500395
"126",0.547699156502463
"127",0.565990586561318
"128",0.518984187919718
"129",0.494594683836824
"130",0.541909706647155
"131",0.503315601722738
"132",0.522748926402463
"133",0.460821634157645
"134",0.531864335571925
"135",0.446515196467354
"136",0.449209710712036
"137",0.420361673965357
"138",0.456766438091232
"139",0.503685315401668
"140",0.53213438500783
"141",0.495041080027072
"142",0.493754525636276
"143",0.512181516653053
"144",0.529478729925952
"145",0.476675656136523
"146",0.466375841403612
"147",0.529702878523946
"148",0.487938279227471
"149",0.502786521566407
"150",0.516313578251277
"151",0.529813898226782
"152",0.55517768569042
"153",0.601334831029416
"154",0.556802209353532
"155",0.537307903675903
"156",0.517005825082588
"157",0.551119517841036
"158",0.497368506070515
"159",0.55214821107318
"160",0.526630495330529
"161",0.57604053192294
"162",0.554001638289504
"163",0.543903261407395
"164",0.600280268645782
"165",0.531486699724615
"166",0.537467047555118
"167",0.601284634292246
"168",0.596278796958532
"169",0.616718802769662
"170",0.582174456726849
"171",0.582427704306378
"172",0.581210986331139
"173",0.578232430504972
"174",0.519533193151044
"175",0.539855066102336
"176",0.532475008718429
"177",0.565815831506782
"178",0.50892771222193
"179",0.482956111989929
"180",0.483555183714111
"181",0.504001320024441
"182",0.54710302530563
"183",0.531007067844414
"184",0.559290627646001
"185",0.581560483983408
"186",0.5209049012758
"187",0.500023424584499
"188",0.487261418493366
"189",0.514467597462648
"190",0.470484572758665
"191",0.485337584806611
"192",0.518088940532373
"193",0.563265237225785
"194",0.501821641373729
"195",0.524999240992226
"196",0.515045140614244
"197",0.51104440425968
"198",0.47161008008178
"199",0.536969933901737
"200",0.522142578064803
"201",0.567899957552124
"202",0.593295633487085
"203",0.549665667372607
"204",0.559330350429669
"205",0.592401671299488
"206",0.594349608496939
"207",0.53458773093102
"208",0.540726079898608
"209",0.514820000513397
"210",0.535516851472852
"211",0.520432612964662
"212",0.458631999083268
"213",0.435012358416793
"214",0.505874693320558
"215",0.485394791204376
"216",0.476203775538231
"217",0.498527743665644
"218",0.560093391198801
"219",0.511997082533881
"220",0.461550048611213
"221",0.49119935704359
"222",0.448702746994911
"223",0.448889454979302
"224",0.464485512301539
"225",0.414211819621943
"226",0.360611656724138
"227",0.379998933860932
"228",0.412979928157806
"229",0.365577466141374
"230",0.423546142367578
"231",0.538047950365555
"232",0.542142768979137
"233",0.492440833001854
"234",0.571492354605648
"235",0.613728720017205
"236",0.53921784618729
"237",0.578305351445939
"238",0.529390123191231
"239",0.565833347059609
"240",0.596665744906101
"241",0.538671396926707
"242",0.519915438566711
"243",0.498978791602798
"244",0.4965879425637
"245",0.534819934440718
"246",0.570782956236125
"247",0.635819760262793
"248",0.580346981371933
"249",0.573538585964278
"250",0.583747072234024
"251",0.595994923867753
"252",0.561738436715075
"253",0.546299206703082
"254",0.557588498548318
"255",0.524960713866624
"256",0.569258451127794
"257",0.520636869448117
"258",0.444202802999271
"259",0.484621031954954
"260",0.535048964922532
"261",0.515524109094418
"262",0.486729647462445
"263",0.518040094288497
"264",0.448993445778023
"265",0.434900063419956
"266",0.539819246421788
"267",0.575501733073812
"268",0.531642321149821
"269",0.601889294401455
"270",0.568442005296079
"271",0.5714586378215
"272",0.602798082439903
"273",0.608689105305237
"274",0.574256821518263
"275",0.572286241616845
"276",0.628860633481904
"277",0.612251645525656
"278",0.582073251807605
"279",0.595209267842084
"280",0.564286672855639
"281",0.528797737713815
"282",0.540756280200459
"283",0.489717161341843
"284",0.510372410953741
"285",0.562580605360416
"286",0.551154343609668
"287",0.556580351603706
"288",0.527309340628285
"289",0.553941524044374
"290",0.539862619555669
"291",0.583529847566131
"292",0.551746345682499
"293",0.544933504826777
"294",0.558542121518761
"295",0.568902763436414
"296",0.554349447357094
"297",0.560260168131065
"298",0.577844353123774
"299",0.593819662956894
"300",0.594428724833676
"301",0.590963424199255
"302",0.577629006494329
"303",0.57250527900558
"304",0.583192303075953
"305",0.621573020860935
"306",0.61466753974399
"307",0.626892982595865
"308",0.57334722476716
"309",0.576062276992242
"310",0.606207840609717
"311",0.600719490363525
"312",0.522618078043916
"313",0.505539142509614
"314",0.495100011217367
"315",0.44521209221265
"316",0.442541212146084
"317",0.526247839975989
"318",0.503492031417513
"319",0.474252296797184
"320",0.54337361284572
"321",0.559384426874344
"322",0.611460556822749
"323",0.601125886962547
"324",0.638050344448546
"325",0.637552212143338
"326",0.579446084895086
"327",0.558647692353636
"328",0.60418351355557
"329",0.607857076116486
"330",0.565761724555621
"331",0.530414980397526
"332",0.517793105579692
"333",0.445525964763195
"334",0.448853859666088
"335",0.485618770663624
"336",0.496109938306582
"337",0.50358217381434
"338",0.516800390626407
"339",0.556731400812442
"340",0.556368719301551
"341",0.538779312674091
"342",0.49494666639599
"343",0.563314125803105
"344",0.562480606005437
"345",0.54311380975549
"346",0.534454406832717
"347",0.53661590345141
"348",0.543030432483174
"349",0.5690992448899
"350",0.52807724732104
"351",0.561189192124248
"352",0.538602354924841
"353",0.573534913136181
"354",0.587624882599161
"355",0.57339955396855
"356",0.601266305381916
"357",0.605683479328132
"358",0.618928076083935
"359",0.547020010148429
"360",0.559595510007386
"361",0.545366186242879
"362",0.528776089805339
"363",0.557842705832994
"364",0.538086257835353
"365",0.593592044238699
"366",0.612826509973018
"367",0.546038102265944
"368",0.571974738939493
"369",0.560701860891279
"370",0.577258920615292
"371",0.584397448817787
"372",0.481130052725565
"373",0.47105619624104
"374",0.525586818068106
"375",0.485050122918121
"376",0.532745795758156
"377",0.483988642498757
"378",0.467068842893127
"379",0.4539333158169
"380",0.533188347481243
"381",0.51972869113071
"382",0.540264951541645
"383",0.592601956352267
"384",0.613107083203531
"385",0.592034694850659
"386",0.616311045401787
"387",0.655728689607329
"388",0.647081941864633
"389",0.577140026867075
"390",0.583065429553418
"391",0.501152606054505
"392",0.518690981653765
"393",0.53400514439732
"394",0.5009662874053
"395",0.423290119271107
"396",0.4229437997042
"397",0.453674032582065
"398",0.473816921750422
"399",0.468936961609511
"400",0.477010866633929
"401",0.489024419749727
"402",0.470493931433259
"403",0.531877769927579
"404",0.56317457970192
"405",0.549485228344058
"406",0.557929370086136
"407",0.56541799875762
"408",0.513874971356257
"409",0.525997598177898
"410",0.464514245604097
"411",0.497827881021856
"412",0.526527619452243
"413",0.566287316855349
"414",0.526880584653025
"415",0.505924568270134
"416",0.574736586391176
"417",0.550780639510413
"418",0.481688594766813
"419",0.531517530438016
"420",0.554556043678573
"421",0.592386792512183
"422",0.574446833742287
"423",0.577065905728055
"424",0.630879266402249
"425",0.61272694245695
"426",0.618955476784422
"427",0.615375490707298
"428",0.630893491311356
"429",0.61557637982779
"430",0.569569224337025
"431",0.574563009484221
"432",0.610173102942167
"433",0.60611831802676
"434",0.582526211848306
"435",0.569292772065845
"436",0.584633365867271
"437",0.561358905597844
"438",0.553768976535135
"439",0.546238320003446
"440",0.503166007768163
"441",0.432000522462412
"442",0.423659075357737
"443",0.475135353249532
"444",0.482052480854807
"445",0.441125926884591
"446",0.446955607316618
"447",0.455658783010617
"448",0.514051626758823
"449",0.537711745030508
"450",0.525342453723975
"451",0.517276101489042
"452",0.508249448649804
"453",0.519760321564615
"454",0.495287225424399
"455",0.489237926756668
"456",0.461534444403749
"457",0.433957642415499
"458",0.434776365150189
"459",0.441206084759036
"460",0.445813327040975
"461",0.437808371900377
"462",0.436883650827027
"463",0.435859258758058
