"","model_1"
"1",0.279317970794868
"2",0.440762520965733
"3",0.483391364409837
"4",0.477270449649959
"5",0.391231288158669
"6",0.314913258035233
"7",0.369286927654233
"8",0.519078330247547
"9",0.541034839394788
"10",0.503387574574657
"11",0.445419277470932
"12",0.447027793661177
"13",0.547999563810422
"14",0.4937566629352
"15",0.516998535550505
"16",0.532306275531538
"17",0.521204968161136
"18",0.586789219946868
"19",0.530940781207532
"20",0.570122009139366
"21",0.450020935802082
"22",0.491330239974711
"23",0.507631797895409
"24",0.456471754600087
"25",0.487854103803221
"26",0.467280899134045
"27",0.565902004101035
"28",0.49945616265955
"29",0.545933002751801
"30",0.526929257217307
"31",0.559265173223733
"32",0.54257725454415
"33",0.551934403336397
"34",0.600232623746437
"35",0.604854623177047
"36",0.509631563707554
"37",0.496233783687934
"38",0.433354350316338
"39",0.389515480193512
"40",0.427851539146054
"41",0.551851006577816
"42",0.569585016961983
"43",0.55256104781271
"44",0.478930103226956
"45",0.454628438304482
"46",0.566283554304325
"47",0.591478042255479
"48",0.606819245208254
"49",0.625411425983707
"50",0.579440682503262
"51",0.535277001129383
"52",0.494009730441628
"53",0.545967021867044
"54",0.562992676889158
"55",0.526147494300001
"56",0.575181730347518
"57",0.534266177107031
"58",0.527790550889781
"59",0.478058587284074
"60",0.505589242509489
"61",0.500622467457961
"62",0.560503056060059
"63",0.568136920299714
"64",0.565522135404281
"65",0.543896098830112
"66",0.566502606237701
"67",0.62247419952907
"68",0.555197093374766
"69",0.535873133011344
"70",0.556416003740357
"71",0.5625823718657
"72",0.603423446147397
"73",0.499630359166142
"74",0.462449407939504
"75",0.458088569820496
"76",0.510527506320582
"77",0.513450594372689
"78",0.490170940950808
"79",0.492478196552691
"80",0.494662330616971
"81",0.486468506743364
"82",0.576968207829951
"83",0.408304922556118
"84",0.430843789248085
"85",0.431478136802478
"86",0.35289870835322
"87",0.413765820267173
"88",0.438947282086141
"89",0.542544368712233
"90",0.551237216657706
"91",0.548911252655687
"92",0.598682714309508
"93",0.50439821686655
"94",0.593414734011089
"95",0.539747491309598
"96",0.460611482484567
"97",0.482458493447666
"98",0.531305071997747
"99",0.495187775685334
"100",0.557098062216474
"101",0.488213551886525
"102",0.495539331454854
"103",0.428251298931203
"104",0.458526977461614
"105",0.49606295595537
"106",0.566466750955623
"107",0.521745252051985
"108",0.524442274953381
"109",0.484469822191539
"110",0.486870511155348
"111",0.445995951775357
"112",0.417884128709904
"113",0.456153568623584
"114",0.506847035878826
"115",0.482689489608299
"116",0.38720769266312
"117",0.473392969606898
"118",0.42267127832228
"119",0.463955297817304
"120",0.424443415898556
"121",0.493264893946156
"122",0.540431610830274
"123",0.522646540658648
"124",0.565901552089568
"125",0.590413427476842
"126",0.512717186987307
"127",0.590519234766137
"128",0.54648954600891
"129",0.56405991598228
"130",0.544163870039082
"131",0.556479643241699
"132",0.57781153557713
"133",0.640260070702956
"134",0.632919581076607
"135",0.557680858737165
"136",0.552048299415041
"137",0.46823922558515
"138",0.491118616459528
"139",0.455302253904169
"140",0.53861143878803
"141",0.527236273484545
"142",0.539763417094691
"143",0.497879799725967
"144",0.526605573970031
"145",0.580361810456015
"146",0.583345988783658
"147",0.564843992365898
"148",0.575330615776999
"149",0.561163045503679
"150",0.566307704890219
"151",0.568858342372268
"152",0.537002597910402
"153",0.585662584302002
"154",0.554223392451954
"155",0.48761535939351
"156",0.520977276833629
"157",0.576730942210567
"158",0.567276346248804
"159",0.57270222693501
"160",0.538943848036423
"161",0.51697267081141
"162",0.556512077894009
"163",0.566343319681089
"164",0.616856263170016
"165",0.556821507088819
"166",0.546394478189091
"167",0.604323260985692
"168",0.558808524047136
"169",0.568080599913089
"170",0.513611498067678
"171",0.48227810723667
"172",0.471527835332338
"173",0.545036237485133
"174",0.439887663478267
"175",0.453018761908651
"176",0.523011595069095
"177",0.584133297554855
"178",0.565959078017972
"179",0.590794990533139
"180",0.573139022804552
"181",0.57573625958041
"182",0.534278061014197
"183",0.569787300151978
"184",0.533410646480784
"185",0.455863637904991
"186",0.510531690402106
"187",0.561358769553975
"188",0.597584476983972
"189",0.496891260199783
"190",0.550683171261266
"191",0.543223510993988
"192",0.596423014908146
"193",0.544436747027757
"194",0.485550502535696
"195",0.555775662347485
"196",0.496992804054072
"197",0.486305089057056
"198",0.482540667723539
"199",0.441685594603639
"200",0.469719613824081
"201",0.539599428273748
"202",0.514373565063502
"203",0.486991767070336
"204",0.455530771557139
"205",0.499759864635868
"206",0.519347901569365
"207",0.588910002791916
"208",0.609755717479882
"209",0.613388168717147
"210",0.596790174800097
"211",0.626126402717239
"212",0.607011225990742
"213",0.56339960186704
"214",0.526257278955351
"215",0.504159095048032
"216",0.549454562708619
"217",0.557639942362453
"218",0.510023172656696
"219",0.49877497234737
"220",0.495888104029059
"221",0.493934019640854
"222",0.494739987727866
"223",0.534752783527331
"224",0.520302729436601
"225",0.426410040079123
"226",0.484322576243401
"227",0.467702244129453
"228",0.512429809832289
"229",0.51558473544189
"230",0.509426565745821
"231",0.520451089792305
"232",0.456104518881092
"233",0.491275276318748
"234",0.54149429929593
"235",0.55679746370712
"236",0.555861211057705
"237",0.566726251871299
"238",0.567463526790943
"239",0.470623554702899
"240",0.491026512327738
"241",0.424896690197543
"242",0.49073268403439
"243",0.444350882374687
"244",0.513875239157688
"245",0.5073893985907
"246",0.494524209801104
"247",0.528297467105123
"248",0.549732337962332
"249",0.561289087262444
"250",0.524820588602677
"251",0.498271597333745
"252",0.470031417385741
"253",0.469370300700581
"254",0.518794246450689
"255",0.505885247540916
"256",0.471429273193546
"257",0.514729453703109
"258",0.525424927704968
"259",0.514226308445688
"260",0.476887253994002
"261",0.553963145576687
"262",0.569067322061358
"263",0.562166871102441
"264",0.561887187002239
"265",0.520855603163927
"266",0.53877423414683
"267",0.485245206159975
"268",0.497647582536026
"269",0.493905810245359
"270",0.540221266263311
"271",0.583203410657201
"272",0.591196654605294
"273",0.522759909915093
"274",0.437694470104351
"275",0.445651639996655
"276",0.494247926760576
"277",0.528841524441129
"278",0.571940176044404
"279",0.575922095508548
"280",0.568338431400658
"281",0.523536462473089
"282",0.46940345872144
"283",0.414645941009241
"284",0.48640461412821
"285",0.415465494721945
"286",0.446744351829892
"287",0.408104733415255
"288",0.405423507270003
"289",0.473861972797789
"290",0.548407080427138
"291",0.493681505374276
"292",0.408846115230318
"293",0.408599920162047
"294",0.503231506313526
"295",0.505254297579717
"296",0.529485354372534
"297",0.525375945092794
"298",0.547663379553526
"299",0.571770958704241
"300",0.563180900183015
"301",0.608024899995885
"302",0.564460282140471
"303",0.556929608904441
"304",0.587170344205875
"305",0.542508056801146
"306",0.564608347829856
"307",0.479228297908479
"308",0.487654881735095
"309",0.416130083125137
"310",0.434750216453217
"311",0.562370722966458
"312",0.602355508469499
"313",0.564165205572477
"314",0.537546455467466
"315",0.571984951616055
"316",0.505873587534499
"317",0.561581781271915
"318",0.475934383776975
"319",0.4573413029796
"320",0.461675913712516
"321",0.511945225231564
"322",0.585807160963729
"323",0.559334257964221
"324",0.572746771952824
"325",0.536680952570175
"326",0.559198392785996
"327",0.541567291616863
"328",0.50829635487544
"329",0.453798678306826
"330",0.453220872532447
"331",0.455282918443292
"332",0.515397491878083
"333",0.510619973632774
"334",0.532535882886207
"335",0.544639374277361
"336",0.53863183682383
"337",0.587029033617457
"338",0.625014818543889
"339",0.597725033879863
"340",0.582993740932354
"341",0.466487005140542
"342",0.475807117606308
"343",0.551322740055011
"344",0.491875860338531
"345",0.565351780292432
"346",0.584169306070522
"347",0.579462898627328
"348",0.541252292954246
"349",0.510643262470846
"350",0.441523855630899
"351",0.466465239722737
"352",0.425799578600137
"353",0.404063063781718
"354",0.531514347818328
"355",0.518832094801882
"356",0.455485717878612
"357",0.427410233106465
"358",0.531429992320181
"359",0.544732870763479
"360",0.520671707037494
"361",0.461249159108828
"362",0.416863489007426
"363",0.504817065771573
"364",0.499688825170619
"365",0.531414598957072
"366",0.553016230700804
"367",0.48974085382001
"368",0.520049809393426
"369",0.4862459331467
"370",0.552582409413891
"371",0.473592216386651
"372",0.515084584955744
"373",0.494167456993969
"374",0.518507051797724
"375",0.542314745617023
"376",0.628778096473116
"377",0.632361679557688
"378",0.496833013595252
"379",0.525474151604293
"380",0.48064923543793
"381",0.506034447417895
"382",0.527616181995798
"383",0.586139405039036
"384",0.575956166024925
"385",0.572310974446021
"386",0.523527218788311
"387",0.518229235339082
"388",0.57927187279275
"389",0.588168048992006
"390",0.609290408769299
"391",0.567040812905723
"392",0.5526952283961
"393",0.474514969418848
"394",0.545911131993565
"395",0.576742182976214
"396",0.586766235982261
"397",0.524992204281404
"398",0.529883747324481
"399",0.48650493514947
"400",0.53671335711909
"401",0.47054419973285
"402",0.463665114026387
"403",0.46277997041821
"404",0.474292867288242
"405",0.447881288497831
"406",0.364367732154854
"407",0.276051972556898
"408",0.398518422180203
"409",0.433793418323792
"410",0.541391249013536
"411",0.545624665919843
"412",0.491683691386882
"413",0.53070622595211
"414",0.451844827800218
"415",0.56194160183878
"416",0.596028765825977
"417",0.481647225100929
"418",0.566052214328914
"419",0.507695003227027
"420",0.529250954919897
"421",0.607678869276576
