"","chain","iter","deviance","icept[1]","icept[2]","icept[3]","icept[4]","icept[5]","lambda.std[1]","lambda.std[2]","lambda.std[3]","lambda.std[4]","lambda.std[5]","lambda[1]","lambda[2]","lambda[3]","lambda[4]","lambda[5]","prec.s","prec[1]","prec[2]","prec[3]","prec[4]","prec[5]","reli.omega","rho","sigma.ts","tau[1,1]","tau[1,2]","tau[2,1]","tau[2,2]","tau[3,1]","tau[3,2]","tau[4,1]","tau[4,2]","tau[5,1]","tau[5,2]","theta[1]","theta[2]","theta[3]","theta[4]","theta[5]"
"1",1,5001,7734.8949615714,1.58846677420215,1.8146524244963,1.72962856986215,1.75116637197774,1.64995686894467,0.407245266322009,0.655094881520313,0.588651262116136,0.593915914006644,0.518244854392261,0.445896056267322,0.867047596380772,0.728179936873756,0.738217393940508,0.605969699793228,11.367127883546,3.59793716519273,4.10321999255236,4.56964747081438,4.06139720980077,4.66079681055385,0.696239353689485,0.487044303380977,0.117036984451088,-0.952287028282148,0.722611526836113,-0.899604595308142,1.06253553908325,-0.848100614882726,0.919837383761869,-0.545856767688443,0.9437583059289,-0.955370248366643,0.920045412453704,1.19882329299475,1.75177153438967,1.53024602046547,1.54496492071632,1.3671992770675
"2",1,5006,7760.43486414122,1.57877055127481,1.69772665771798,1.73250195241415,1.73262125864079,1.60258097669135,0.47757251102325,0.590448637130192,0.630130921040921,0.644610003600596,0.518987634565106,0.543565531211637,0.731590593085861,0.811513101528042,0.843165790375235,0.607158068510802,14.426445621318,3.89638460804804,4.21586603893849,3.4417124988079,3.76825840549744,4.64955947850555,0.714454106105096,0.452042906925513,0.104189433892776,-1.01354805674942,0.870678417091381,-0.904131711898631,0.854358175665775,-0.87359799102232,0.868966283676802,-0.667740874501184,1.11823296430017,-0.720760066826554,1.03146589808289,1.29546348672139,1.53522479589172,1.65855351395166,1.71092855005909,1.36864092015777
"3",1,5011,7734.39135123456,1.53885562062656,1.63792766545722,1.78233160171387,1.72537044693097,1.61003191513092,0.463581873878539,0.505000819846481,0.657503967017226,0.655904672419363,0.532860360748178,0.523198166284539,0.585088382837112,0.872656476975613,0.868927758239014,0.629707342273787,13.688150809769,4.05951428772712,3.79023613010156,4.00297891680639,3.88246956477453,4.90497898504894,0.707729911471687,0.472517597750602,0.0962497442910222,-0.946381837473678,0.709371108547987,-0.878254058248687,0.878608461822647,-0.981740009992579,0.890402555629105,-0.487938840465349,1.20119674188153,-0.797347375691119,1.18691575188767,1.2737363212035,1.34232841573095,1.76152932680749,1.75503544903828,1.39653133691352
"4",1,5016,7815.98444153174,1.62247201531012,1.59726261832233,1.74238851764538,1.74075193230645,1.56348111180968,0.537164935859842,0.495013195415395,0.666454154429077,0.646574371809904,0.574705643304468,0.636845807997324,0.569710531764913,0.893914180054672,0.847576274715495,0.702264895663725,13.495406398453,4.4977462985334,3.76294488430369,4.17333755568561,3.99597410111687,5.05860607555725,0.727145360248664,0.417685667265635,0.125833414585408,-0.993522882600993,0.878472997605427,-0.929697253940306,0.882847675330464,-0.931681853025619,0.942924652157757,-0.341589088006726,1.23718115952205,-0.764758745932179,0.895669678836921,1.40557258316376,1.32457009000386,1.79908256130282,1.7183855414606,1.49317598368158
"5",1,5021,7804.01691305305,1.63652574272207,1.61778801274368,1.67714771543921,1.71054081221286,1.59726785640232,0.540076052388503,0.507928809433532,0.642925637092178,0.659372094521755,0.546451954511218,0.64171298167621,0.589655641041834,0.839406746820359,0.877038301617717,0.652487382468015,12.7186017619804,4.49076951323892,3.97473101573229,3.64557017766333,3.90444404457503,4.83447858253549,0.721637160392489,0.406496912768492,0.108855919862572,-1.0352651559205,1.02791282131539,-0.836658034819841,0.924746738289046,-1.12705561691383,1.21632585498434,-0.446459356846062,1.19644399872791,-0.758248253814239,0.992167888202079,1.41179555085177,1.34769377501246,1.70460368660754,1.76919618250449,1.42573978427996
"6",1,5026,7883.09700144353,1.5759618971715,1.56259400991057,1.63865315325872,1.62494882058232,1.61891717697473,0.600792504489025,0.44304464048244,0.598415550381202,0.638101603045207,0.629195548282857,0.751549588258158,0.494193934116519,0.746912244016984,0.828754860174682,0.809518101026724,10.2560605193375,3.93938988387136,4.17653521896724,3.88542992741827,3.98875865989142,4.76533255522348,0.725027604029893,0.325542543462049,0.122344781696613,-0.834777264599416,0.862361591552692,-0.839202661514536,0.912588581691097,-0.976169474500647,1.01635156241803,-0.616208907160603,1.29662569812384,-1.05768166930242,0.877631666680686,1.56482678361101,1.24422764451756,1.55787790026249,1.68683461826316,1.65531955588991
"7",1,5031,7803.17091782209,1.60088479403023,1.63962047538764,1.59178772970405,1.61575974624393,1.55822370594,0.646532350854433,0.594751374642468,0.574594218313203,0.628200996674049,0.656276557000305,0.847481625629283,0.739823609795748,0.702061619328287,0.807403266973263,0.869792957319588,10.6726361012244,4.43631198236563,4.12999859768834,3.84968892992766,4.05227941682842,4.61900321231228,0.758845808955828,0.31329599981288,0.148262886390448,-0.97509739918629,0.836109833599013,-0.901662585052495,0.906600126410471,-0.670632956798677,1.03594826222134,-0.422255317461598,1.14757608028639,-0.937112216214052,0.823824531871191,1.71822510577925,1.54733897361121,1.49289051733386,1.6519000355191,1.75653978860275
"8",1,5036,7847.05095801645,1.53978148576803,1.58599666383263,1.60117808688241,1.62615522829379,1.5047251237173,0.613808413846463,0.59796477774121,0.613918208301637,0.649091167725263,0.539434103983995,0.777509037337229,0.74603628439483,0.777732224230494,0.853269490180001,0.640636914845628,9.988997446664,4.04714941592222,4.13799928331363,4.19645550398489,3.78480713107073,4.37077931253137,0.742313484676992,0.248341902043383,0.124833709226936,-0.860969983860903,0.782983067295286,-0.89564892863097,1.00417810033377,-0.786157527703861,0.844879143011682,-0.558038608583132,1.22869700073603,-0.951377746077082,0.931792275062064,1.60452030314106,1.55657013763364,1.60486741260651,1.72806882287204,1.41041565666292
"9",1,5041,7874.44297225709,1.5751109780897,1.57009187800822,1.62041788216344,1.61998451565105,1.45095473405728,0.663019174478347,0.60246454450298,0.558738403675614,0.687890340952317,0.474389758412708,0.885675977077633,0.754830333710147,0.673711311306231,0.947749344541041,0.538886423507186,9.13676777418176,4.08838248802765,3.97146797970768,3.83685980677165,3.88071834125518,4.2314228715525,0.742884145076369,0.227980279225155,0.0664377302983351,-1.07317235123252,0.958724596287156,-1.13654755639607,0.889051064530502,-0.84126625237506,0.869247611326852,-0.318288991807949,1.39968260037881,-0.909185339882721,0.962167364483246,1.78442193637242,1.56976883268897,1.45388693098196,1.89822882007797,1.29039857744037
"10",1,5046,7925.78105239516,1.5640804636412,1.52821135614567,1.63590559369325,1.64016433564139,1.46723377844597,0.675409669389658,0.548923251576255,0.544931119968907,0.679330040961309,0.544031614964298,0.915880844527149,0.65670671495294,0.649902909215121,0.925728540760059,0.648378608866932,11.7079808943561,4.01375897658668,3.83229812953972,4.01504936536046,3.92447691745829,4.72166042323764,0.742455935237003,0.255282877871001,0.0552657089312451,-0.649882290672577,1.05732837293673,-0.758371105993814,1.05602630292666,-0.793623478512607,1.01236557721602,-0.481665571413847,1.20906303470111,-1.09045575642147,1.06314443722394,1.83883772137176,1.43126370946428,1.42237379140628,1.85697333117775,1.42039482043622
