"","chain","iter","deviance","lambda[1]","lambda[2]","lambda[3]","lambda[4]","lambda[5]","reli.omega","tau[1,1]","tau[1,2]","tau[2,1]","tau[2,2]","tau[3,1]","tau[3,2]","tau[4,1]","tau[4,2]","tau[5,1]","tau[5,2]","theta[1]","theta[2]","theta[3]","theta[4]","theta[5]"
"1",1,501,7962.10127938031,0.395077955877005,0.417875545316683,0.632485901797672,0.409176327982564,0.783823573730191,0.581987401201092,-0.708565786060781,0.564310140274022,-0.724546824415368,0.525023410385067,-0.536655755538871,0.634653634997284,-0.3647546366365,0.746971497558251,-0.70594126591652,0.193224859840756,1.15608659121995,1.17461997137371,1.40003841597281,1.16742526738129,1.61437939473517
"2",1,502,8019.04863750064,0.400870169312802,0.521056653088594,0.592661924804783,0.461272806279472,0.788341582260365,0.604456007983001,-0.740420339663449,0.47740094312036,-0.681407688087918,0.521062843619257,-0.539654744564628,0.634511374422803,-0.376698921273015,0.690173431337145,-0.639725647053908,0.31337082633069,1.16069689264487,1.27150003572789,1.35124815711331,1.21277260181294,1.62148245032078
"3",1,503,7925.38064674152,0.392288042556088,0.420897109346035,0.579938434748599,0.415569648487821,0.829513376567508,0.581944487636652,-0.690017521823539,0.437776552849817,-0.622148526919109,0.616303841064155,-0.548810912841877,0.679267388068489,-0.363594212311148,0.674536625773929,-0.60430468319395,0.326465350370543,1.15388990833249,1.17715437665585,1.33632858809866,1.17269813274429,1.68809244190443
"4",1,504,7927.92219608549,0.401831830807297,0.36028247498906,0.596386544955943,0.38672245921517,0.815052917942672,0.567287426667071,-0.711570938114371,0.532391473535691,-0.669573465652443,0.59565270446824,-0.476175360741592,0.691317152966633,-0.412335637323603,0.656386162088231,-0.611022392641472,0.323385127475822,1.16146882024994,1.12980346178424,1.35567691100449,1.14955426046143,1.66431125904686
"5",1,505,7986.80105768622,0.389575096032081,0.363197766063587,0.645362156401027,0.445876535053752,0.817270363793743,0.586175666579199,-0.72405643974789,0.634837923122248,-0.718518153745477,0.602123276616973,-0.462680029189895,0.670088395845163,-0.356976286923376,0.677682059380985,-0.606254351923076,0.343185634620847,1.15176875544841,1.13191261727358,1.41649231291458,1.19880588451154,1.66793084753556
"6",1,506,7996.41068349558,0.469137398816803,0.348601792706823,0.67561817427615,0.484287270083783,0.835055449861644,0.612741779773773,-0.714287503624903,0.507880751822288,-0.739780180630256,0.573619746589683,-0.561097151922901,0.799925272913265,-0.36792991325277,0.747817741049491,-0.528025169148465,0.365922223879174,1.2200898989686,1.12152320987841,1.45645991741224,1.2345341599652,1.69731760434363
"7",1,507,8083.65817038939,0.392192159168416,0.351496754408444,0.601264713700506,0.493541785329782,0.787745997115206,0.579731066185585,-0.617176726295668,0.581561321537694,-0.646704687715026,0.556074076011478,-0.528417179551063,0.737802438984352,-0.38482226030219,0.648382681499329,-0.514442698701919,0.37604376141095,1.15381468971318,1.12354996835967,1.36151925594135,1.24358349386651,1.62054375597103
"8",1,508,8076.28088124911,0.377563690893039,0.347269928276847,0.654164888022854,0.443308342737048,0.779069016746785,0.575088506504776,-0.656187137503254,0.581194278825866,-0.621247797288059,0.543499988794659,-0.576921231477153,0.677325605281963,-0.434666732600806,0.570578694578475,-0.576204255942968,0.404412248059548,1.14255434068077,1.12059640308541,1.42793170072195,1.19652228674027,1.6069485328548
"9",1,509,7949.04708869565,0.330548646922825,0.377617915145997,0.615214454913954,0.401247225561878,0.766064424243324,0.553712884070067,-0.641130429462876,0.610926421870202,-0.671261507135953,0.550120468078565,-0.488628151475211,0.686009065508512,-0.322044433480674,0.696706420996637,-0.520274411646033,0.419644328152703,1.10926240798251,1.14259528983921,1.37848882553507,1.1609993360211,1.58685470209126
"10",1,510,7863.65661786839,0.515345219274795,0.351900037156271,0.659517474254993,0.356191110779151,0.742293702020339,0.579546613266584,-0.564558832424014,0.593763657806671,-0.617626899646044,0.605216212550961,-0.521923455162613,0.691909916800396,-0.277803637759915,0.65865233647564,-0.536222481206706,0.432873975612699,1.26558069502939,1.12383363615058,1.43496329884769,1.12687210739809,1.55099994005906
