"","chain","iter","deviance","lambda.std[1]","lambda.std[2]","lambda.std[3]","lambda.std[4]","lambda.std[5]","lambda[1]","lambda[2]","lambda[3]","lambda[4]","lambda[5]","reli.omega","tau[1,1]","tau[1,2]","tau[2,1]","tau[2,2]","tau[3,1]","tau[3,2]","tau[4,1]","tau[4,2]","tau[5,1]","tau[5,2]","theta[1]","theta[2]","theta[3]","theta[4]","theta[5]"
"1",1,5001,4214.67563411251,0.627127681160217,0.353114110856703,0.534522694001521,0.670357945731424,0.696571722899313,0.805128281528619,0.377427918895131,0.632455880191907,0.903401238905555,0.970849033829822,0.731336724038573,-0.896763519463013,1.11230468177479,-0.665191170837687,1.13513542737751,-0.808369034827157,0.890850562122678,-0.543959292974473,1.37348873360554,-0.737511169564539,1.40217185237844,1.64823154971723,1.14245183396151,1.40000044038932,1.81613379845609,1.9425478464883
"2",1,5006,4182.90582745605,0.527455286705268,0.295434565085533,0.512230030915935,0.704931305983218,0.637761407734597,0.62084036029043,0.309238030161592,0.596415028522805,0.993875049465926,0.82800995899784,0.691579594164807,-0.888204375160683,0.830311873723014,-0.682876410900447,1.10720676692186,-0.728616454940098,1.06635081781408,-0.495889825478314,1.57754262249984,-0.85410478365751,1.1076993348682,1.38544275296555,1.09562815929822,1.35571088624786,1.9877876139509,1.68560049219961
"3",1,5011,4373.02245316362,0.567342834792167,0.303694569588857,0.532184457661378,0.74538510744076,0.627780142743483,0.688956215792712,0.318749275956225,0.628592706219661,1.11813225887274,0.806510326097208,0.717199356946035,-0.8991706108923,0.950213789617508,-0.622386441934046,0.978680643741437,-0.719531102701581,0.83541772837979,-0.293369128424692,1.55696809135142,-0.731778776678688,1.28744435769971,1.47466066727941,1.10160110092262,1.39512879031256,2.25021974833185,1.65045890610142
"4",1,5016,4217.82516234931,0.601513461580757,0.316470292611304,0.521017328422833,0.740455140084399,0.715129023074842,0.752962291109653,0.333617420186143,0.610414983915604,1.10169434215562,1.02308543864128,0.744975509339916,-0.927711347486663,1.09672923230556,-0.910793697020481,1.1422428345355,-0.644708803140518,1.05842733985726,-0.564228952007067,1.24920827781411,-0.804510456403971,1.16896630791894,1.5669522118331,1.11130058305166,1.37260645258869,2.2137304235377,2.04670381475982
"5",1,5021,4223.1638068997,0.550234501555063,0.348999509334,0.54110117434055,0.792370777925711,0.660986113943012,0.658955444683314,0.372415941169027,0.643434624761199,1.29888375429194,0.880847226779159,0.748205402244171,-0.795173469381808,1.14749166790593,-0.547033723397481,1.18510807366587,-0.822780643258174,0.990684543253344,-0.50840157167841,1.47645634903365,-1.04681903221606,1.09984701540834,1.43422227807778,1.13869363323681,1.41400811634158,2.68709900716352,1.77589183692453
"6",1,5026,4306.04553154502,0.512134846287568,0.325904130658151,0.473049791645815,0.783895879063164,0.587053375552271,0.596264792392432,0.344725150751295,0.536924661178165,1.26253116109093,0.725161707347126,0.706062781206573,-0.770978290159372,0.984552817400446,-0.734281743367496,1.16165515883223,-0.803291695231173,1.01425542551327,-0.520161148481467,1.31635051900408,-0.948156115761361,0.97152572047023,1.35553170264679,1.1188354295605,1.28828809178129,2.59398493272561,1.5258595018026
"7",1,5031,4253.25448812012,0.512512506929261,0.381021020401184,0.480362770134132,0.781872158403174,0.610981952297062,0.596861054378037,0.412107806050727,0.547690406733049,1.2541281804878,0.771788262281893,0.719649990912209,-0.998478931212306,0.906317711556796,-0.598703366711768,1.12422773042753,-0.748644198502621,0.777349551417804,-0.861287137479943,1.24092112167967,-0.927324282923598,1.16811935816509,1.35624311823326,1.16983284380794,1.29996478162741,2.57283749309363,1.5956571217961
"8",1,5036,4241.5812419733,0.45550135631816,0.37382096306898,0.506836414365918,0.729907160319565,0.672241020629819,0.511664123043146,0.403041086005018,0.587948457908719,1.06782403142568,0.908025979556602,0.707602131210076,-0.713290537513193,0.814679165125606,-0.608947615425984,1.02132035398078,-0.675340351894776,0.82547781721655,-0.543636117041265,1.45307522190224,-0.938530278258757,1.26366000148818,1.26180017480951,1.1624421170081,1.34568338915724,2.14024816209019,1.82451117954973
"9",1,5041,4235.06480801007,0.497639143921611,0.38571196408221,0.481543880452101,0.7833247435068,0.637592517405899,0.573724038784186,0.418061908003505,0.549442951150484,1.26014919922543,0.827640455537292,0.724817736074197,-0.725383314384238,0.842820012876594,-0.888363592248186,0.927769493002079,-0.686844129578142,1.12036798792778,-0.4207998618898,1.60744255096487,-0.87749456273824,1.11813801547578,1.32915927267884,1.17477575892353,1.30188755656895,2.5879760043085,1.68498872364198
"10",1,5046,4161.27032153596,0.415243473307727,0.360135408600349,0.530026010771523,0.799126901295964,0.668008443409512,0.45645681520349,0.386038581381873,0.625044394444838,1.32930293145234,0.897675371706286,0.731895779210382,-0.945941186259351,0.696867624254831,-0.769781964579764,0.921762148182115,-0.538161910431256,1.09686409246335,-0.382397387886751,1.67264776274543,-0.922323263076247,1.03204864212831,1.20835282414571,1.14902578631533,1.39068049502691,2.76704628356779,1.80582107296802
