"","model_4"
"1",0.696239353689485
"2",0.714454106105096
"3",0.707729911471687
"4",0.727145360248664
"5",0.721637160392489
"6",0.725027604029893
"7",0.758845808955828
"8",0.742313484676992
"9",0.742884145076369
"10",0.742455935237003
"11",0.717309204867579
"12",0.751052535806409
"13",0.737005276014868
"14",0.746099768121016
"15",0.73098866319097
"16",0.736776839038743
"17",0.731059519422101
"18",0.747363753346498
"19",0.749302928628792
"20",0.754831639820266
"21",0.773549427724673
"22",0.766127525167398
"23",0.766288450808476
"24",0.736449932493932
"25",0.762391303647421
"26",0.757375879581656
"27",0.780928750608141
"28",0.757527296265772
"29",0.741640901467786
"30",0.744221739147765
"31",0.766637969164264
"32",0.780117141728259
"33",0.793139793293606
"34",0.791578846192772
"35",0.769963426291705
"36",0.758783915346329
"37",0.764326598401199
"38",0.768847553352257
"39",0.771875076617487
"40",0.750976479445061
"41",0.768545494985832
"42",0.77783773681921
"43",0.796853843503377
"44",0.804612448503738
"45",0.797811550748216
"46",0.776294391590571
"47",0.756855956831794
"48",0.779893444264847
"49",0.774556162584449
"50",0.771568280642221
"51",0.788195560971154
"52",0.803284328793313
"53",0.812234301013987
"54",0.811706846060396
"55",0.811433063821796
"56",0.803294741493967
"57",0.813940077188943
"58",0.796261286042283
"59",0.803443741532971
"60",0.802330740930322
"61",0.805277463401266
"62",0.798286591764764
"63",0.789449998905122
"64",0.772138561458489
"65",0.774881287617813
"66",0.764219096279254
"67",0.771440564948014
"68",0.780868281064928
"69",0.737860378603616
"70",0.738299780494098
"71",0.751906774547258
"72",0.75646479279839
"73",0.760984189913641
"74",0.762403768289616
"75",0.784466967730777
"76",0.779016972648837
"77",0.769284028519863
"78",0.794861145404769
"79",0.807856199658842
"80",0.80445080451173
"81",0.812323541506601
"82",0.795635456057095
"83",0.788535593801822
"84",0.800408896804431
"85",0.79981576205951
"86",0.794838871771016
"87",0.753027420087985
"88",0.735878773553634
"89",0.735595314158317
"90",0.745015382814129
"91",0.717280546900977
"92",0.737061101281642
"93",0.743778296123342
"94",0.756014897543026
"95",0.785792930625159
"96",0.76765780009014
"97",0.808091975255274
"98",0.803340743829568
"99",0.794278928828834
"100",0.77113878359064
"101",0.774251937970151
"102",0.787247503034655
"103",0.799645309561333
"104",0.790522551522374
"105",0.79188577541659
"106",0.791234268976979
"107",0.809663162131119
"108",0.810940148643105
"109",0.797426775340903
"110",0.77800324081686
"111",0.767932017972676
"112",0.793420121020756
"113",0.778988380494849
"114",0.792161102940995
"115",0.794309391714651
"116",0.791123251326922
"117",0.766248608622765
"118",0.786096073219886
"119",0.793679055506441
"120",0.772214621737562
"121",0.773779928179368
"122",0.798846880197112
"123",0.787630686037674
"124",0.838061854903562
"125",0.799768541469088
"126",0.81222648384747
"127",0.794392104302642
"128",0.797139227010571
"129",0.763198544108555
